박정환,朴廷桓,Park Junghwan
김지석,金志錫,金志锡,Kim Jiseok
변상일,卞相壹,Byun Sangil
이동훈,Lee Donghoon,李东勋
신민준,Shin Minjun,申旻埈,申旻ジュン
신진서,Shin Jinseo,申真谞
이세돌,Lee Sedol,李世石,李世乭
박영훈,Park Yeonghun,朴永训,朴永訓
이영구,Lee Yeongkyu,李映九
조한승,Cho Hanseung,赵汉乘,趙漢乗
강동윤,Kang Dongyun,姜东润,姜東潤
원성진,Weon Seongjin,元晟溱
허영호,Heo Yongho,许映皓,許映皓
이원영,Lee Wonyoung,李元荣
최철한,Choi Cheolhan,崔哲瀚
박정상,Park Cheongsang,朴正祥

딩슈승,Ding Shixiong,丁世雄
판인,Fan Yin,范胤
쉬자양,Xu Jiayang,许嘉阳
판윈뤄,Fan Yunruo,范蕴若
스웨,Shi Yue,时越,時越
황신,Huang Xin,黄昕
렌샤오,连笑,連笑,Lian Xiao
천야오예,陈耀烨,Chen Yaoye
미위팅,Mi Yuting,芈昱廷
구링이,Gu Lingyi,古灵益,古霊益
쎄얼하오,Xie Erhao,谢尔豪,謝爾豪
펑리야오,Peng Liyao,彭立尧,彭立尭
커제,Ke Jie,柯洁,柯潔
당이페이,Dang Yifei,党毅飞,党毅飛

위정치,Yu Zhengqi,余正麒
이치리키료,Ichiriki Ryo,一力辽,一力遼
모토키가츠야,Motoki Katsuya,本木克弥
이야마유타,Iyama Yuta,井山裕太
야마시타게이고,Yamashita Keigo,山下敬吾,山下道吾

왕위안쥔,Wang Yuanjun,王元均
